ID,Nombre,HSV_Colores_Dominantes,Tonalidad_Recomendada
01,all.png,"(248.85336128947972, 3.0180545393422857, 56.4985196357745) | (248.44104410441116, 6.564835879103022, 30.61193111931118) | (248.5200306200573, 4.266483770705194, 41.61960104665786) | (248.7686680889977, 2.2638437043962956, 72.35581183460023) | (244.63733131688912, 11.597331372562062, 24.28562944760153)",claro
02,all_1.png,"(55.140977759389926, 10.224151517376995, 74.53217799600402) | (24.91119027349466, 43.87792848335158, 12.66494885609436) | (47.86002867196668, 10.51189489475099, 33.82558577345267) | (26.655755591927274, 40.0087307650069, 2.0687008251771664) | (166.61822388138162, 18.87150035323911, 60.46847625219001)",mestizo
03,all_2.png,"(0.0, 0.0, 2.4308008736689506) | (0.0, 0.0, 69.58283984734838) | (0.0, 0.0, 31.262562699498393) | (0.0, 0.0, 16.28062133944486) | (0.0, 0.0, 48.66179371156746)",mestizo
04,anchor.png,"(33.76740085297985, 32.47539951532079, 58.6833408404229) | (32.89107429706723, 74.61924521569165, 8.505383498904573) | (62.67587693513615, 20.789773280250255, 69.47230215261723) | (15.907869355921465, 60.32599510984855, 81.45849694559911) | (37.054604699598194, 37.15126038184819, 32.82884876046892)",mestizo
05,anchor_1.png,"(0.0, 0.0, 20.27275975085044) | (0.0, 0.0, 52.51619653709439) | (0.0, 0.0, 35.79717637211823) | (0.0, 0.0, 6.360679558337654) | (0.0, 0.0, 69.9732033734903)",mestizo
06,anchor_10.png,"(248.00354295837525, 0.9469871716372064, 70.53865360266019) | (247.769296013572, 3.424289510753679, 18.990375334381298) | (247.77251184833898, 1.9893496289830628, 34.30174757746716) | (247.70989357509205, 1.2569828942317947, 51.76586003924142) | (247.75205171700972, 10.364917716494318, 7.789499790854548)",claro
07,anchor_11.png,"(0.0, 0.0, 31.42652606862385) | (0.0, 0.0, 69.674599390235) | (0.0, 0.0, 1.7861094776510933) | (0.0, 0.0, 49.99703946619296) | (0.0, 0.0, 14.629323639568165)",mestizo
08,anchor_12.png,"(31.31915372084095, 37.56565421409919, 74.67727382760032) | (29.218139011157717, 47.152689957428116, 18.18403637193468) | (31.16864443195719, 41.06876809307098, 36.48043084637169) | (26.133607779493094, 19.84374059052869, 49.27384968682069) | (22.695713947429635, 9.884966424352545, 71.14619450633994)",mestizo
09,anchor_13.png,"(0.0, 0.0, 1.4362766741994797) | (0.0, 0.0, 49.84124249992819) | (0.0, 0.0, 69.3038607908589) | (0.0, 0.0, 30.8495854717726) | (0.0, 0.0, 14.628802786184943)",mestizo
10,anchor_14.png,"(215.3282879934474, 6.703152314248623, 18.133318416123746) | (215.30386740331448, 1.4676072326278518, 71.60721413796857) | (215.61456752655738, 1.8793579573270387, 56.088561869343245) | (215.32258064516193, 4.335484482687078, 27.054494733298064) | (215.97587939698585, 2.7813029356022643, 40.9732911856331)",claro
11,anchor_2.png,"(0.0, 0.0, 6.278540035761893) | (0.0, 0.0, 52.023807069270056) | (0.0, 0.0, 19.70520152505445) | (0.0, 0.0, 69.44088262007799) | (0.0, 0.0, 35.508861640768956)",mestizo
12,anchor_3.png,"(60.0, 2.510754088819431, 24.281377203449452) | (60.0, 0.7295795778644074, 54.6930742557246) | (60.0, 1.0433227764023818, 38.50558194292207) | (60.0, 2.538713542768205, 21.29531193405972) | (60.0, 0.5799694752908486, 70.69613424117269)",mestizo
13,anchor_4.png,"(24.26570997224071, 54.71768000802991, 86.16101085242846) | (212.3604583871252, 73.46299975355312, 12.626961355788149) | (201.21027205695367, 40.261164421048285, 85.20470086566448) | (23.824048340806442, 94.3382490093149, 92.91403055021398) | (343.36397948320996, 2.3490978036742485, 35.58135960654889)",claro
14,anchor_5.png,"(0.0, 0.0, 20.58375723910296) | (0.0, 0.0, 54.20845804573127) | (0.0, 0.0, 6.362682777560782) | (0.0, 0.0, 37.652721303575184) | (0.0, 0.0, 70.09126942369073)",mestizo
15,anchor_6.png,"(0.0, 0.0, 20.165309200603296) | (0.0, 0.0, 53.9358992644512) | (0.0, 0.0, 6.442823863060773) | (0.0, 0.0, 70.3785234516085) | (0.0, 0.0, 37.12282964342863)",mestizo
16,anchor_7.png,"(62.227826817997816, 49.45089208384475, 2.0213585434174286) | (62.98708118895093, 7.283005301042586, 55.78484712709893) | (60.71209800918911, 9.109535891466798, 37.543945792006305) | (62.945277100035504, 7.086750321114551, 72.93757319160441) | (62.324359816152246, 15.673292969486981, 18.74091931854709)",mestizo
17,anchor_8.png,"(206.97297514678672, 15.705966321799783, 32.7549769578103) | (203.11271360349787, 23.544986287513645, 78.37922654019489) | (31.643782264715803, 65.77701277217042, 79.39328680624781) | (337.7012022360064, 38.022909635295065, 16.443577329191953) | (203.06163944134647, 45.405756669243644, 63.11066799601201)",claro
18,anchor_9.png,"(20.874606465481474, 13.147296734544007, 23.814203314921542) | (178.7368568175699, 20.511918484849733, 72.8647557125165) | (357.91888337617297, 87.84150594440227, 76.27345292727009) | (167.2700518663998, 26.03203094826555, 47.23557449671961) | (34.87953782496683, 62.82586410700355, 63.32937293729369)",mestizo
19,and.png,"(40.36001756183219, 68.00959922144575, 29.924381566972784) | (43.84437538429012, 44.78503298798221, 69.50781195870564) | (17.839261330386798, 74.97379646557025, 4.988600091199369) | (42.360162291500494, 48.14779772704505, 51.46965725662069) | (42.47836588059658, 27.91979830975984, 77.46174239441423)",mestizo
20,and_1.png,"(38.980463632738996, 20.038120021000243, 62.35934664246825) | (38.99301204464029, 34.08832782205787, 53.622213015080625) | (38.709199517564315, 24.553176903472256, 55.707447603088944) | (38.418213078793094, 13.574667916799104, 77.96298039215685) | (38.84046871409972, 16.639055969008044, 69.83358547655068)",mestizo
